City,Country,Id's,Lat,Temperature,Humidity,Cloudiness,Wind Speed
Payson,US,5779548,40.04,85.86,18,1,8.05
Longyearbyen,NO,2729907,78.22,48.2,70,75,21.92
Bluff,AU,2175403,-23.58,54.79,85,100,2.82
Tieli,CN,2034440,46.98,57.49,96,88,5.79
Atuona,PF,4020109,-9.8,80.53,78,6,15.05
Bredasdorp,ZA,1015776,-34.53,54.23,87,3,5.82
Albany,US,5106834,42.65,80.74,39,40,10.29
Lodja,CD,211647,-3.52,75.67,45,36,1.99
La Grande,US,5735537,45.32,80.53,28,1,5.82
Vaini,IN,1273574,15.34,77.47,86,100,1.52
Chuy,UY,3443061,-33.69,46.33,63,0,10.67
Port Elizabeth,US,4501427,39.31,82.49,45,40,9.17
New Norfolk,AU,2155415,-42.78,48.4,71,75,13.87
Butaritari,KI,2110227,3.07,83.95,69,100,8.66
Cockburn Town,TC,3576994,21.46,81.79,79,5,8.88
Santa Maria,BR,3462672,-16.02,79.66,34,20,4.7
Palmer,AU,2067070,-34.85,45.55,81,75,9.17
Bilibino,RU,2126682,68.06,41.47,94,100,3.29
Aranyosapati,HU,722823,48.21,72.61,83,100,8.12
Rikitea,PF,4030556,-23.12,69.01,66,100,15.75
Busselton,AU,2075265,-33.64,52.25,65,100,5.39
Alcains,PT,2272197,39.92,72.0,37,0,7.0
Cape Town,ZA,3369157,-33.93,55.08,76,20,11.41
Hobart,AU,2163355,-42.88,48.4,71,75,13.87
Vardo,US,4372777,39.62,83.43,37,1,4.83
Taldan,RU,2015646,53.69,54.79,66,0,5.93
Maxixe,MZ,1039536,-23.86,73.4,88,0,4.7
Mataura,NZ,6201424,-46.19,41.47,93,0,5.57
San Cristobal,HN,3609418,14.68,84.67,45,14,12.95
Aklavik,CA,5882953,68.22,51.8,76,90,8.05
Punta Arenas,CL,3874787,-53.16,37.27,86,75,4.7
Buala,SB,2109528,-8.15,80.17,78,0,4.9
Hermanus,ZA,3366880,-34.42,55.78,66,47,11.01
Pitimbu,BR,3391889,-7.47,80.6,69,40,11.41
Fairbanks,US,5861897,64.84,61.54,51,75,17.22
Nanzhang,CN,1799574,31.78,67.39,55,0,3.29
Lincoln,US,5072006,40.8,88.84,46,40,11.41
Torbay,CA,6167817,47.66,50.49,100,90,10.29
Lebu,ET,344979,8.96,60.8,82,75,4.7
Provideniya,RU,4031574,64.42,42.8,100,90,11.18
Goderich,CA,5962442,43.74,79.48,59,58,7.0
Itaituba,BR,3397967,-4.26,95.0,50,20,1.81
Dhamtari,IN,1272997,20.71,73.51,93,100,13.42
Ushuaia,AR,3833367,-54.81,36.37,86,75,16.11
Chitral,PK,1181065,35.85,42.01,65,0,7.99
Tomatlan,MX,3981391,19.93,85.21,64,0,11.25
Tasiilaq,GL,3424607,65.61,42.8,81,20,2.24
Krasnaya Gora,RU,542788,53.01,69.8,94,90,15.66
Adrar,DZ,2508813,27.87,109.4,7,0,9.04
Victoria,BN,1733782,5.28,80.37,88,75,2.24
Mmabatho,ZA,975436,-25.85,44.6,52,0,6.93
Guder,ET,335733,8.97,54.79,87,79,0.96
East London,ZA,1006984,-33.02,54.43,52,1,18.77
Avarua,CK,4035715,-21.21,71.6,64,62,6.93
Nhamunda,BR,3393929,-2.19,86.47,63,85,1.92
Codrington,AU,2160063,-28.95,52.81,93,75,2.15
Mar del Plata,AR,3863379,-46.43,38.41,79,95,15.7
Norman Wells,CA,6089245,65.28,64.4,45,40,9.17
Hilo,US,5855927,19.71,79.3,58,40,10.29
Auki,NG,2339937,12.18,84.13,64,27,15.55
Touros,BR,3386213,-5.2,80.6,74,20,8.05
Ganzhou,CN,1810638,25.86,74.05,93,61,3.89
Barrow,AR,3833859,-38.31,47.05,48,50,16.62
Cabo San Lucas,MX,3985710,22.89,83.05,34,5,6.93
Dikson,RU,1507390,73.51,45.25,62,100,9.44
Alofi,NU,4036284,-19.06,75.2,83,75,13.87
Jamestown,AU,2069194,-33.21,42.01,64,0,4.5
Sur,OM,286245,22.57,89.53,50,29,13.91
Castro,CL,3896218,-42.48,50.0,81,75,10.29
Port Alfred,ZA,964432,-33.59,54.0,91,13,10.0
Kaitangata,NZ,2208248,-46.28,42.91,84,0,4.7
Rancho Palos Verdes,US,5386035,33.75,78.73,64,5,11.41
Bambous Virieux,MU,1106677,-20.34,68.85,68,75,14.99
Kodiak,US,4407665,39.95,89.49,21,1,14.99
Williams Lake,CA,6182212,52.13,59.0,77,90,14.99
Arraial do Cabo,BR,3471451,-22.97,82.22,65,0,5.82
Ponta do Sol,BR,3453439,-20.63,65.41,55,66,0.63
Qaanaaq,GL,3831208,77.48,50.11,45,0,2.15
Bubaque,GW,2374583,11.28,79.81,84,100,8.34
Nanortalik,GL,3421765,60.14,41.47,72,100,10.07
Narrabri,AU,2155742,-30.33,42.42,70,100,3.18
Saint-Philippe,CA,6138908,45.36,80.49,45,1,4.7
Xining,CN,1788852,36.62,47.59,80,35,3.11
Severo-Kurilsk,RU,2121385,50.68,42.73,95,16,2.37
Cherskiy,RU,2126199,68.75,42.37,87,100,3.74
Esperance,AU,2071860,-33.86,46.4,87,75,6.93
Port-Gentil,GA,2396518,-0.72,75.2,83,20,11.41
Verkhnyaya Salda,RU,1487277,58.04,61.81,77,100,9.69
Acari,BR,3390864,-6.44,81.25,57,84,17.13
Tulum,MX,3515040,20.21,89.08,59,75,10.29
Khatanga,RU,2022572,71.98,50.83,48,59,4.5
Kahului,US,5847411,20.89,79.07,65,20,6.93
Cidreira,BR,3466165,-30.17,50.29,67,89,4.9
Burnie,AU,2173125,-41.05,49.33,89,74,5.01
Coahuayana,MX,3981460,18.62,91.87,48,0,1.68
Nakhon Thai,TH,1608524,17.1,74.95,82,100,5.1
Kavieng,PG,2094342,-2.57,83.95,65,2,5.21
Hasaki,JP,2112802,35.73,69.44,100,75,2.24
Lompoc,US,5367788,34.64,71.62,82,1,9.17
Abonnema,NG,2324433,4.71,77.11,89,44,5.59
Togur,RU,1489499,58.36,53.71,85,0,3.11
Cloquet,US,5021632,46.72,78.87,57,1,4.7
Upernavik,GL,3418910,72.79,40.03,79,0,5.61
Rostovka,RU,1496153,55.02,60.8,67,0,2.24
Pital,CO,3672123,2.27,58.57,96,100,2.98
Margate,AU,2158744,-43.03,48.2,71,75,13.87
Yuanping,CN,1786060,38.72,58.39,63,21,4.07
Hami,CN,1529484,42.84,82.33,20,0,10.76
Duncan,US,4535389,34.5,88.86,52,40,11.41
Bowen,AU,2174444,-20.01,58.14,93,15,5.82
Chokurdakh,RU,2126123,70.62,47.59,68,100,10.42
Acapulco,MX,3533462,16.86,84.2,79,90,6.93
Aquiraz,BR,3407407,-3.9,80.91,65,20,17.22
Fortuna,US,5563839,40.6,66.47,63,20,19.46
Puerto Carreno,CO,3671519,6.19,86.0,66,40,4.7
Sidhi,IN,1256369,24.41,91.87,45,98,4.45
Vaitape,PF,4033077,-16.52,77.83,78,62,23.35
Kruisfontein,ZA,986717,-34.0,49.39,83,8,11.52
Moctezuma,MX,3995647,29.81,96.73,20,89,7.78
Puerto Ayora,EC,3652764,-0.74,76.91,65,75,24.16
Nioro,GM,2413070,13.79,84.13,61,100,15.84
Khasan,RU,2039557,42.43,57.85,94,29,1.41
Dhidhdhoo,MV,1337612,6.88,83.59,76,100,14.47
Svetlaya,RU,2015852,46.54,48.49,99,100,2.24
Ribeira Grande,PT,3372707,38.52,71.6,83,40,3.36
Dunda,IN,1253628,30.62,75.85,52,4,7.83
Yar-Sale,RU,1486321,66.83,69.19,69,31,15.68
Monroe,US,5002344,41.91,90.18,55,40,10.29
Ruwi,OM,287286,23.6,95.0,56,0,3.36
Ashland,US,4282757,38.48,89.26,55,40,6.55
Souillac,FR,3026644,45.6,73.74,69,0,8.05
Pacific Grove,US,5380437,36.62,72.03,63,1,13.87
Altotonga,MX,3532969,19.76,72.25,81,100,2.37
Georgetown,GY,3378644,6.8,81.59,83,75,4.7
Heidenreichstein,AT,2776603,48.87,64.33,94,98,4.23
Ketchikan,US,5554428,55.34,62.8,82,90,16.11
Libreville,GA,2399697,0.39,78.8,83,20,8.05
Vanimo,PG,2084442,-2.67,79.63,82,0,7.67
Campbell River,CA,5914132,50.02,72.82,53,40,4.7
Iqaluit,CA,5983720,63.75,42.44,75,20,10.29
Obo,CF,236950,5.39,68.29,91,100,1.79
Ambon,FR,3037899,47.55,63.84,67,0,10.29
Paamiut,GL,3421193,61.99,38.77,88,81,13.33
Grindavik,IS,3416888,63.84,50.2,66,0,13.87
San Andres,PH,1690438,13.32,75.85,95,100,8.9
Vila Velha,BR,6320062,-3.71,81.0,65,20,17.22
Rio Grande,BR,3451138,-32.03,57.2,41,0,8.05
Sterling,US,4787534,39.0,84.65,42,1,4.7
Mount Gambier,AU,2156643,-37.83,57.31,73,0,23.49
Geraldton,CA,5960603,49.72,78.8,39,75,10.29
Venkatagiri,IN,1253251,13.96,83.23,62,95,4.85
Englehart,CA,5948844,47.82,75.2,53,75,12.75
Timbuktu,ML,2449067,16.77,92.77,29,100,17.05
Yellowknife,CA,6185377,62.45,51.42,87,90,21.92
Bahia Blanca,AR,3865086,-38.72,52.09,32,37,20.0
Bergen,NO,3161733,60.39,49.68,81,75,23.04
Willmar,US,5052916,45.12,72.7,94,90,6.93
Linjiang,CN,2036069,41.81,52.27,98,45,2.15
Oil City,US,5204278,41.43,80.92,44,1,8.05
Lavrentiya,RU,4031637,65.58,47.59,83,100,12.93
Chingirlau,KZ,610091,51.09,56.95,80,79,9.06
Linxia,CN,1803331,35.6,54.25,71,100,4.52
Agadez,NE,2448085,16.97,84.2,48,1,11.41
Saskylakh,RU,2017155,71.97,41.29,68,99,8.61
Kurilsk,RU,2123979,45.23,49.93,90,100,4.61
Victoria Falls,ZW,879431,-17.93,56.77,34,0,5.59
Thompson,CA,6165406,55.74,75.2,47,90,16.11
Martil,MA,2542987,35.62,74.44,44,0,4.94
Ornskoldsvik,SE,2686469,63.29,58.39,87,61,4.7
Serenje,ZM,898912,-13.23,54.25,49,0,2.8
Kalmunai,LK,1242110,7.42,75.13,75,100,1.83
Debre Birhan,ET,339734,9.68,54.43,85,98,1.59
Tabou,CI,2281120,4.42,74.95,93,43,2.91
Carutapera,BR,3402648,-1.2,77.29,94,82,3.74
Le Port,FR,3036965,42.87,69.62,92,90,5.99
Robertson,AU,2151485,-34.59,52.07,25,100,14.99
Tamale,GH,2294877,9.4,83.95,67,0,10.09
Lagoa,PT,2267254,37.14,80.6,44,0,14.99
Atbasar,KZ,1526038,51.81,66.49,46,86,18.45
Carnarvon,ZA,1014034,-30.97,37.15,89,0,8.46
Healdsburg,US,5356012,38.61,78.53,44,1,6.93
Road Town,VG,3577430,18.42,84.58,66,40,9.17
Olinda,AU,2154386,-37.84,48.43,75,0,24.16
Mitsamiouli,KM,921786,-11.38,78.73,68,0,11.01
Honiara,SB,2108502,-9.43,75.2,100,75,17.47
Urucara,BR,3385670,-2.54,86.29,62,90,2.1
Dudinka,RU,1507116,69.41,53.6,71,0,2.24
Carballo,ES,3126369,43.21,62.94,82,90,5.82
Namibe,AO,3347019,-15.19,68.29,65,0,9.26
Sao Joao da Barra,BR,3448903,-21.64,83.14,42,0,2.24
Te Anau,NZ,2181625,-45.41,47.23,86,34,1.1
Rio Real,BR,3451071,-11.49,70.81,85,0,6.8
Puchezh,RU,504294,56.98,54.97,70,36,10.07
Kurtalan,TR,305532,37.93,74.26,40,0,4.7
Kedougou,SN,2250645,12.56,78.37,84,98,4.52
Homer,US,5864145,59.64,64.67,72,1,9.17
Faanui,PF,4034551,-16.48,77.83,78,62,23.35
Port Lincoln,AU,2063036,-34.72,59.65,78,42,13.78
Cayenne,GF,3382160,4.94,84.2,74,75,6.93
Terrace,CA,6162949,54.52,71.6,60,90,3.78
Lata,IN,1253628,30.78,37.69,84,0,2.33
Broken Hill,AU,2173911,-31.97,41.0,65,0,2.01
Riyadh,SA,108410,24.63,96.8,9,0,4.7
Tiksi,RU,2015306,71.64,35.71,93,100,13.96
Port Angeles,US,5807212,48.12,65.59,60,1,6.93
Ligayan,PH,1706466,4.65,83.41,76,100,11.18
Thoen,TH,1150154,17.61,70.99,96,100,1.3
Valle de Allende,MX,3980627,26.94,88.63,15,17,13.58
Nikolskoye,RU,546105,59.7,63.59,68,40,8.95
Carrickmacross,IE,2965733,53.98,59.81,59,40,9.17
Hithadhoo,MV,1282256,-0.6,84.13,64,72,2.89
Tiznit,MA,2527089,29.7,66.49,88,0,12.59
Vestmannaeyjar,IS,3412093,63.44,49.93,70,0,24.81
Dangriga,BZ,3582228,16.97,87.89,70,40,13.87
Kasba,IN,1259166,25.86,86.29,69,92,8.63
Alma,US,5421506,39.28,69.8,38,75,8.05
Kapaa,US,5848280,22.08,80.42,74,20,13.87
Mahebourg,MU,934322,-20.41,69.22,68,75,13.87
Hamilton,CA,5969785,43.26,81.23,61,75,11.41
Leningradskiy,RU,2123814,69.38,39.85,95,100,6.46
Mehamn,NO,778707,71.03,54.09,41,0,5.82
Machico,PT,2266895,32.7,68.07,64,40,10.29
Saint-Georges,CA,6295855,46.12,75.99,64,90,1.01
Kitimat,CA,5993072,54.02,73.4,56,90,3.36
Gunupur,IN,1270667,19.07,73.69,96,100,1.74
Batemans Bay,AU,2176639,-35.71,37.8,69,100,3.94
Klaksvik,FO,2618795,62.23,44.6,70,52,12.75
East Wenatchee Bench,US,5793272,47.43,79.81,27,1,5.82
Matay,EG,352628,28.42,83.41,41,0,12.59
Saldanha,PT,2737599,41.42,72.61,62,0,4.07
Saint George,GR,262462,39.45,75.0,47,0,2.44
Constitucion,MX,4011743,23.99,77.0,28,99,10.0
Malartic,CA,6064704,48.14,74.28,50,75,10.29
Gizo,IL,6693679,31.8,75.9,61,0,2.24
Yeniseysk,RU,1485997,58.45,64.69,57,59,0.67
Willowmore,ZA,939676,-33.3,40.03,87,0,2.84
Ranong,TH,1150965,9.96,82.87,81,100,17.34
Pevek,RU,2122090,69.7,32.83,96,100,8.08
Kungurtug,RU,1501377,50.6,50.29,95,78,5.17
Ahipara,NZ,2194098,-35.17,60.19,81,45,15.1
San Quintin,PH,1688687,17.54,74.23,92,84,3.89
Saint-Francois,FR,2980080,46.42,71.24,64,0,4.7
Padilla,CO,3673407,3.23,77.0,73,75,11.41
Poum,MK,787487,41.28,69.8,60,20,4.7
Kharovsk,RU,550512,59.95,58.03,63,100,10.02
Hualmay,PE,3939761,-11.1,63.07,90,30,15.12
Walvis Bay,NA,3359638,-22.95,55.9,72,0,6.93
Manono,CD,209598,-7.3,70.81,35,0,3.98
Copiapo,CL,3893656,-27.37,62.6,59,0,6.93
Marathon,CA,6065867,48.72,55.4,87,75,5.82
Manokwari,ID,1636308,-0.87,73.87,72,91,4.38
Talnakh,RU,1490256,69.49,53.6,71,0,2.24
Berdigestyakh,RU,2026861,62.1,57.85,81,100,5.7
Maningrida,AU,2067089,-12.05,63.07,97,69,7.99
Lorengau,PG,2092164,-2.02,78.73,80,5,3.53
Scottsboro,US,4088916,34.67,90.84,55,1,6.93
San Patricio,PY,3437029,-26.98,54.43,81,100,4.7
Easton,US,4353962,38.77,82.98,42,5,6.93
Tigre,AR,3427761,-34.42,54.25,47,0,13.87
Kloulklubed,PW,7671223,7.04,75.2,94,75,4.7
Mabaruma,GY,3377301,8.2,77.11,95,100,3.98
Novoagansk,RU,1497210,61.94,57.13,74,34,4.0
Omboue,GA,2396853,-1.57,73.87,82,90,14.81
Morros,BR,3398381,-2.87,84.2,74,40,8.05
Emba,CY,146639,34.81,72.18,49,0,8.05
Petropavlovsk-Kamchatskiy,RU,2122104,53.05,41.0,100,90,4.47
Sham Churasi,IN,1256676,31.5,92.23,29,0,2.44
Sept-Iles,CA,6144312,50.2,69.03,52,75,5.82
Blairmore,CA,5903535,49.61,70.83,31,1,24.16
Islahiye,TR,311104,37.03,78.91,29,0,3.36
Amapa,HN,3603330,15.09,91.4,52,40,13.87
Filadelfia,PY,3867291,-22.35,57.31,80,100,4.34
Mogadishu,SO,53654,2.04,76.75,85,5,15.59
