City,Country,Id's,Lat,Temperature,Humidity,Cloudiness,Wind Speed
Tuktoyaktuk,CA,6170031,69.44,53.6,71,90,11.41
Wadi Musa,JO,246008,30.32,53.6,48,0,8.05
Mamallapuram,IN,1263997,12.63,87.87,62,40,10.29
Valley City,US,5062292,46.92,81.25,39,1,4.7
Ulaanbaatar,MN,2028462,47.92,46.4,93,0,1.7
Mnogovershinnyy,RU,2019935,53.94,54.61,74,93,1.9
Kieta,PG,2094027,-6.22,78.91,79,18,4.16
Gat,SN,2249901,14.69,78.8,78,100,9.17
Chegdomyn,RU,2025579,51.13,59.83,79,100,1.83
Melton,AU,2158151,-37.68,48.65,75,0,24.16
Vila Franca do Campo,PT,3372472,37.72,69.8,83,40,5.82
Aksarka,RU,1512019,66.56,67.75,62,3,12.24
Benghazi,LY,88319,32.12,76.39,67,0,19.77
Bathsheba,BB,3374083,13.22,87.8,62,20,21.92
Chhata,IN,1274343,27.72,97.27,25,0,7.16
Vezirkopru,TR,738167,41.14,60.8,67,0,14.99
Danielskuil,ZA,1011918,-28.19,36.79,79,28,6.6
Jatai,IN,1270260,28.97,97.09,25,0,8.32
Aden,YE,415189,12.79,90.07,54,23,8.46
Armenis,RO,686137,45.2,69.19,84,0,4.47
Bethel,US,5880568,60.79,54.01,76,90,8.05
Balakhninskiy,RU,2027196,58.01,62.71,69,13,0.31
Vanavara,RU,2013727,60.35,67.39,60,0,2.95
Springbok,ZA,3361142,-29.67,47.41,91,0,2.15
Hambantota,LK,1244926,6.12,83.23,81,100,21.59
Nhulunbuy,AU,2064735,-12.18,68.0,88,41,5.82
Weinan,CN,1791636,34.5,69.8,83,0,2.24
Derzhavinsk,KZ,1524606,51.1,76.03,52,71,18.57
Campbellsville,US,4286717,37.34,88.05,58,1,5.82
Palu,ID,1633034,-0.9,75.31,84,97,1.88
Huanuco,PE,3696417,-9.93,82.4,30,20,12.75
Meulaboh,ID,1214488,4.14,81.61,80,98,6.73
Tokur,RU,2015217,53.13,44.17,99,100,4.03
Jumla,NP,1283285,29.28,52.81,90,37,3.13
Sayat,TM,1218436,38.78,95.0,26,0,11.41
Hokitika,NZ,2206894,-42.72,53.71,86,100,6.29
Valparaiso,US,4927537,41.47,88.05,23,1,8.05
Yining,CN,1786538,29.04,70.99,96,0,1.03
Taikang,CN,2034600,46.86,63.79,73,20,5.95
Quelimane,MZ,1028434,-17.88,75.2,88,0,3.36
Teya,MX,3526662,21.05,96.08,47,75,17.22
Kununurra,AU,2068110,-15.77,59.0,82,75,1.12
Balkanabat,TM,161616,39.51,75.13,37,91,15.08
Sola,TZ,151211,-3.17,66.67,32,0,4.23
Kokoda,PG,2093691,-8.88,60.01,97,85,1.39
Brookhaven,US,5110292,40.78,83.3,45,75,10.29
Grootfontein,NA,3357114,-19.56,48.67,18,0,12.28
Port Blair,IN,1259385,11.67,83.59,80,100,22.19
Salekhard,RU,1493197,66.54,67.39,60,33,11.12
Katsuura,JP,1865309,33.93,71.22,94,75,4.7
Offa,CI,2293268,5.92,73.69,98,95,3.24
Nador,MA,2541479,35.17,80.6,51,0,8.05
Lazaro Cardenas,MX,3996234,28.39,93.99,16,0,13.24
Zhangye,CN,1785036,38.94,68.83,32,71,4.03
Half Moon Bay,US,5354943,37.46,69.03,82,90,3.36
Makueni,KE,188080,-1.8,64.15,86,26,4.52
Mahina,ML,2460755,13.76,94.93,38,40,6.55
Rabo de Peixe,PT,3372745,37.8,69.8,83,40,5.82
Hay River,CA,5972762,60.82,48.2,93,90,28.86
Anadyr,RU,2127202,64.73,53.33,71,0,11.18
Lithakia,GR,258241,37.72,77.16,60,0,5.82
Dzilam Gonzalez,MX,3529654,21.28,79.81,84,46,23.87
Comodoro Rivadavia,AR,3860443,-45.87,46.4,65,20,16.11
Rusape,ZW,882100,-18.53,54.97,59,0,5.3
Husavik,CA,5961417,50.56,80.47,21,0,8.01
Ankara,TR,323786,39.92,64.72,42,0,8.05
Vikhorevka,RU,2013399,56.12,69.8,56,0,4.47
Kasama,ZM,912764,-10.21,54.25,47,0,2.17
Wilmington,US,4145381,39.75,82.15,39,1,3.36
Erzin,TR,296852,36.95,76.89,53,0,0.87
Jinzhou,CN,2036427,41.11,69.55,50,100,3.6
Opuwo,NA,3354077,-18.06,54.25,34,0,5.88
Yaan,NG,2338660,7.38,75.85,93,84,5.35
Sa Kaeo,TH,1606807,13.8,75.13,94,100,4.7
Cravo Norte,CO,3685702,6.3,74.41,95,100,6.11
Rozhdestveno,RU,477192,50.23,68.11,77,87,10.98
Ambilobe,MG,1082243,-13.19,69.19,66,0,8.48
Waikuku,NZ,2180219,-43.29,43.86,85,42,4.7
Butia,BR,3453639,-21.88,78.8,41,0,8.05
Oudtshoorn,ZA,967106,-33.59,50.0,76,0,9.17
Hovd,NO,7626384,63.83,47.43,87,75,20.8
Iquique,CL,3887127,-20.22,62.6,72,75,18.34
Faya,SA,110690,18.39,78.8,31,40,8.05
Abulug,PH,1732333,18.45,72.79,91,99,3.4
Price,US,5545269,39.6,82.08,21,1,8.05
Moose Factory,CA,6078372,51.26,69.8,77,90,22.28
Grimshaw,CA,5967157,56.19,55.15,50,75,12.75
Amahai,ID,1651591,-3.31,80.01,99,47,13.04
Mahajanga,MG,1062663,-15.72,73.4,69,0,4.7
Porto Novo,BR,6322184,-23.68,78.8,44,0,5.82
Mahibadhoo,MV,1337605,3.78,83.41,69,100,6.96
Asha,RU,580660,54.99,57.13,99,100,6.51
Albacete,ES,2522258,39.0,76.6,50,0,5.82
Mahon,IE,2965139,51.89,60.8,63,20,13.87
Alihe,CN,2038665,50.57,55.87,91,47,3.47
Verkhnevilyuysk,RU,2013639,63.45,60.37,69,88,5.93
Kavaratti,IN,1267390,10.57,84.13,75,86,20.45
Zyryanovsk,KZ,1516438,49.74,46.33,72,14,3.29
Labuhan,ID,1641899,-2.54,72.07,91,82,0.78
Luderitz,NA,3355672,-26.65,57.2,76,0,10.29
Sao Filipe,CV,3374210,14.9,74.41,82,0,21.59
Itai,BR,3460887,-23.42,71.53,78,65,6.17
Soldotna,US,5874678,60.48,67.91,55,1,6.93
Yanam,IN,1252795,16.73,77.65,86,100,12.8
Kiama,AU,2161515,-34.67,52.21,25,100,14.99
Turukhansk,RU,1488903,65.8,54.61,66,100,9.24
Japura,ID,1642773,-0.42,73.87,93,81,1.72
Karksi-Nuia,EE,589922,58.1,61.0,81,0,3.0
Favara,IT,6541339,37.32,70.77,61,0,1.99
Rodrigues Alves,BR,3665210,-7.74,91.4,55,75,3.36
Dolores,UY,3442750,-33.53,55.0,52,0,7.0
Zacualtipan,MX,3514134,20.65,71.89,56,89,9.93
Aromashevo,RU,1511381,56.86,57.49,77,28,12.37
Hofn,IS,2630299,64.25,48.2,76,20,10.29
Ugra,RU,479471,54.78,61.63,83,64,6.62
Wamba,CD,204318,2.14,67.39,99,100,2.37
Nome,US,4732862,30.04,90.48,62,1,10.29
Sibu,MY,1735902,2.29,77.0,94,75,2.24
Okhotsk,RU,2122605,59.36,54.43,72,0,1.77
Solnechnyy,RU,2016307,50.72,57.31,84,1,2.66
Verkhoyansk,RU,2013465,67.55,53.35,71,92,12.3
Verkhneuralsk,RU,475463,53.88,59.0,100,90,8.95
Bose,IT,6457397,45.46,73.74,69,75,6.93
Maceio,BR,3395981,-9.67,80.6,65,20,13.87
Narsaq,GL,3421719,60.91,48.2,66,100,6.93
Melbu,NO,3146160,68.5,46.2,75,40,6.93
Brcko,BA,3203521,44.87,73.26,83,0,2.24
Winneba,GH,2294034,5.35,78.8,88,40,11.41
Ulundi,ZA,946257,-28.29,44.89,49,0,4.25
Airai,TL,1651810,-8.93,68.47,82,42,3.62
Namatanai,PG,2090021,-3.66,78.55,84,94,12.59
Verkhnetulomskiy,RU,475469,68.61,53.6,79,75,4.47
Surinam,MU,933988,-20.51,68.83,68,75,14.99
Loanda,BR,3458479,-22.93,75.13,77,16,7.36
Suhbaatar,MN,2029156,50.23,55.15,75,0,2.39
Parkes,AU,2153778,-33.14,37.99,90,100,4.25
Arona,IT,3182812,45.76,73.54,73,0,5.82
Port Hardy,CA,6111862,50.7,62.6,77,75,13.87
Hervey Bay,AU,2146219,-25.3,61.27,93,75,5.82
Maku,IR,14177,39.29,62.6,33,0,4.7
Kainantu,PG,2095038,-6.29,57.13,99,96,1.25
Luau,CD,876177,-10.7,60.91,32,0,4.81
Naze,NG,2337542,5.43,80.6,83,75,4.7
Kharitonovo,RU,550574,61.4,49.39,93,0,0.25
Mineiros,BR,3457147,-17.57,72.97,42,2,4.27
Isangel,VU,2136825,-19.55,64.4,100,20,7.05
Northam,AU,2064550,-31.65,48.2,87,61,3.36
Jackson,US,4431410,32.3,90.48,55,31,3.36
Clyde River,CA,5924351,70.47,53.6,40,1,9.17
San Juan,AR,3837213,-31.54,50.29,19,0,4.16
Avera,US,4231997,33.19,95.85,39,1,6.93
Los Llanos de Aridane,ES,2514651,28.66,68.11,68,40,18.34
Clarence Town,AU,2171465,-32.59,41.72,100,100,6.93
Ostrovnoy,RU,556268,68.05,46.15,71,30,13.76
Ust-Nera,RU,2120048,64.57,55.15,70,100,11.18
Durazno,UY,3442727,-33.38,51.8,77,0,8.05
Irece,BR,3461013,-11.3,74.95,46,6,10.83
Kaoma,ZM,913323,-14.8,54.07,38,0,4.74
Sitka,US,4267710,37.17,92.23,29,2,13.11
Virginia Beach,US,4791259,36.85,83.23,54,40,13.87
Gazanjyk,TM,161974,39.24,77.65,36,100,17.22
Bodden Town,KY,3580733,19.28,89.53,70,20,9.17
Mitu,IR,117392,36.2,58.75,63,0,5.39
Kholm,AF,1136575,36.69,89.28,15,5,4.07
Plettenberg Bay,ZA,964712,-34.05,49.21,83,1,4.21
Negombo,LK,1233369,7.21,84.2,79,40,12.75
Nemuro,JP,2128975,43.32,52.45,97,81,9.93
Sumbe,AO,3346015,-11.2,71.17,87,22,6.29
Kanakapura,IN,1268189,12.54,72.97,77,100,12.64
Harper,US,4696310,30.3,86.54,55,40,9.17
Devils Lake,US,5058868,48.11,76.6,44,1,8.05
Zverinogolovskoye,RU,1484943,54.46,65.23,64,9,14.29
Oussouye,SN,2246901,12.49,81.73,94,20,4.7
Rivne,UA,695594,50.62,77.0,64,88,7.11
Tura,RU,2014833,64.27,64.87,80,58,4.16
Port Macquarie,AU,2152659,-31.43,46.04,100,100,1.9
Farmington,US,5467328,36.73,86.49,19,1,9.17
Yaring,TH,1604771,6.87,80.71,79,100,8.97
Lubao,CD,211098,-5.39,76.39,33,0,4.54
Pecos,US,5528182,31.42,95.61,22,1,10.29
Hailar,CN,2037078,49.2,60.37,79,93,8.39
Ouesso,CG,2255564,1.61,71.89,92,100,3.06
Bogovarovo,RU,575480,58.98,48.49,92,0,0.87
Ilulissat,GL,3423146,69.22,42.8,70,75,5.82
Kaman,TR,310641,39.36,58.21,53,0,7.45
College,US,5859699,64.86,61.84,55,90,14.99
Flinders,AU,6255012,-34.58,46.09,25,100,14.99
Manggar,ID,1636426,-2.88,73.69,91,96,2.62
Ixtapa,MX,4004293,20.71,88.95,55,5,17.22
Launceston,AU,2160517,-41.43,48.83,100,90,17.22
Batagay-Alyta,RU,2027042,67.8,37.69,95,100,6.46
Arlit,NE,2447513,18.74,100.33,16,95,16.58
Chifeng,CN,2038067,42.27,62.53,54,100,2.66
Santa Marta,CO,3668605,11.24,91.4,66,75,4.7
Gravdal,NO,3147822,59.79,49.86,87,75,19.46
Carbonia,IT,2525362,39.17,78.75,94,5,4.7
Ancud,CL,3899695,-41.87,50.0,81,75,10.29
Fukue,JP,1848373,35.03,73.67,100,75,5.82
Smithers,CA,6149996,54.78,75.2,53,75,10.29
Okha,RU,2122614,53.59,46.69,76,0,15.37
Katiola,CI,2287298,8.14,78.8,78,40,2.24
Yangambi,CD,203717,0.77,76.75,69,66,4.97
Zhanaozen,KZ,607610,43.35,66.13,56,33,16.24
Kaeo,NZ,2189343,-35.1,57.99,94,100,5.99
Port Pirie,AU,2063030,-33.18,39.2,80,0,8.05
Moss Vale,AU,2156777,-34.55,52.03,25,100,14.99
Padang,ID,1633419,-0.92,81.79,76,33,5.41
Seymchan,RU,2121373,62.93,60.91,51,60,7.92
Santa Catalina,UY,3440580,-33.79,50.0,63,0,1.01
Yulara,AU,6355222,-25.24,41.0,48,0,4.7
Boshnyakovo,RU,2126493,49.65,50.11,85,100,2.75
Zharkent,KZ,1520253,44.17,52.45,46,0,2.1
Havre-Saint-Pierre,CA,5972291,50.23,64.4,63,1,8.05
Balabac,PH,1728675,7.99,81.25,82,100,9.62
Vostok,RU,2013279,46.45,54.25,98,100,1.54
Grand Gaube,MU,934479,-20.01,69.3,68,75,14.99
Shellbrook,CA,6145951,53.22,78.8,39,20,20.8
Lyuban,BY,625721,52.8,62.35,81,19,7.7
Zyryanka,RU,2119283,65.73,65.23,47,100,15.61
Itoman,JP,1861280,26.12,80.87,88,40,9.17
Darnah,LY,87205,32.77,75.85,74,0,9.75
Marawi,PH,1701054,8.0,75.0,95,100,5.01
Mogadouro,PT,2737599,41.34,72.61,62,0,4.07
Pangody,RU,1495626,65.85,66.85,72,37,12.66
Ferrol,ES,3123493,43.48,62.01,82,90,8.05
Sikasso,ML,2451185,11.32,81.79,58,0,4.41
Sovetskiy,RU,490040,56.76,51.19,90,0,3.53
San Rafael,AR,3836669,-34.61,53.71,23,0,3.13
Bonthe,SL,2409914,7.53,77.11,90,71,6.53
Darhan,MN,2031964,49.49,54.43,78,23,1.81
Saint-Augustin,CA,6138501,45.63,80.06,54,75,9.17
Tuatapere,NZ,2180815,-46.13,50.47,82,0,13.53
Popondetta,PG,2088163,-8.77,61.63,92,41,2.48
Huilong,CN,1784131,31.15,73.87,74,40,2.57
Hauge,NO,3156529,59.25,63.0,63,2,8.05
Hirara,JP,1862505,24.8,83.95,83,32,21.54
Mareeba,AU,2158767,-16.99,65.62,88,90,10.29
Tigil,RU,2120612,57.8,52.63,80,83,4.07
Caravelas,BR,3466980,-17.73,74.23,85,20,3.22
Maniitsoq,GL,3421982,65.42,41.47,83,83,7.7
Escanaba,US,4992232,45.75,76.3,88,90,8.05
Saint Anthony,US,5606187,43.97,81.93,28,1,12.75
Thunder Bay,CA,6166142,48.41,80.87,37,75,5.82
Wanning,AT,3220813,48.64,67.08,82,75,4.7
Bichena,ET,342190,10.45,52.45,95,100,4.79
Noumea,NC,2139521,-22.28,62.6,100,0,4.21
Aykhal,RU,2027296,65.95,51.8,66,90,6.71
Paungde,MM,1300969,18.49,74.41,93,100,8.16
Kenora,CA,5991056,49.76,77.25,29,20,12.75
Los Arcos,MX,3522961,18.89,70.61,69,90,4.74
Baruun-Urt,MN,2032614,46.68,54.43,75,56,5.84
Komsomolskiy,RU,1486910,67.55,59.11,92,69,3.65
Aswan,EG,359792,24.09,95.0,20,0,6.93
Ginir,ET,336454,7.14,58.57,94,29,6.11
Beringovskiy,RU,2126710,63.05,52.27,72,94,7.31
Pochutla,MX,3517970,15.74,87.37,62,90,2.06
Ondjiva,AO,3346821,-17.07,58.03,26,0,5.1
Salym,RU,1493162,60.06,58.93,77,6,3.65
Rocky Mountain House,CA,6126749,52.38,47.05,94,100,14.74
Butka,RU,1508589,56.72,63.97,61,100,10.42
Ust-Ishim,RU,1488206,57.69,54.79,89,0,3.91
Bulgan,MN,2032201,48.81,48.67,86,82,3.38
Cowra,AU,2170139,-33.84,37.87,77,100,1.45
Presidencia Roque Saenz Pena,AR,3840300,-26.79,56.95,58,100,4.25
Supe,PE,3928274,-10.8,63.07,90,30,15.12
Cardoso,BR,3466970,-20.08,75.85,49,50,2.39
Setubal,AR,3836277,-31.5,57.99,42,0,3.0
Yarada,IN,1252783,17.65,79.81,80,100,17.25
Siilinjarvi,FI,636947,63.08,60.8,67,0,6.93
Merghindeal,RO,673566,45.97,68.97,88,0,3.36
Nara,JP,1855612,34.68,72.68,100,75,1.12
Lusambo,CD,210379,-4.97,73.51,31,3,1.74
Rome,IT,6539761,41.89,76.96,42,0,2.24
Anito,PH,1730622,12.45,76.39,88,100,3.53
Prince Rupert,CA,6113406,54.32,57.2,93,90,3.36
Atar,MR,2381334,20.52,94.03,32,100,19.19
Tezu,IN,1254709,27.93,74.41,96,100,4.97
Dire Dawa,ET,338832,9.59,67.57,68,27,6.29
Shabqadar,PK,1165744,34.21,89.6,31,5,6.93
Nehe,CN,2035610,48.48,61.09,85,100,5.39
